file,net of investment,net of pension plan investment,net of administrative and investment,discount rate,net of 0.25% of investment,net of inflation. one hundred percent (100%) of the plan’s investment,net of opeb plan investment,investment rate of return,opeb plan,net of plan investment,net of pension investment,context
"MI2020/MI Northfield Township (Washtenaw County) ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5%. salary increases: 3.00% investment rate of return: 7.35%, net of investment expense, including inflation. although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term wage inflation"
"MI2020/MI Northfield Township (Washtenaw County) ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5%. salary increases: 3.00% investment rate of return: 7.35%, net of investment expense, including inflation. although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term wage inflation"
"MI2020/MI Northfield Township (Washtenaw County) ","","","","['7.60%']","","","","","","","","7.35% discount rate the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at the rates agreed"
"MI2020/MI Northfield Township (Washtenaw County) ","","","","['7.60%']","","","","","","","","$ 254,239 sensitivity of the net pension liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is 1% point lower (6.60%) or 1%"
"MI2020/MI Northfield Township (Washtenaw County) ","","","","['6.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is 1% point lower (6.60%) or 1% higher (8.60%) than the current rate."
"MI2020/MI Harrison Charter Firemens Pension Fund Township ","","","","","","","","['6.50']","","","","study for the period ended december 31, 2018: salary increases - 3.00 - 12.70%, including wage inflation investment rate of return - 6.50% mortality rates - were based on the rp-2014 combined mortality table with improvement scale"
"MI2020/MI Harrison Charter Firemens Pension Fund Township ","","","","['6.50 percent']","","","","","","","","mp-2016 projected to 2027. the projection to 2027 provides a margin for future mortality improvement. discount rate - the discount rate used to measure the total pension liability was 6.50 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will"
"MI2020/MI Harrison Charter Firemens Pension Fund Township ","","","","['6.50 percent']","","","","","","","","6.24 sensitivity of the net pension liability to changes in the discount rate - the following presents the net pension liability of the system, calculated using the discount rate of 6.50 percent, as well as what the system’s net pension liability would be if it were calculated using a discount rate that is 1percentage-point lower (5.50 percent) or 1-percentage-point higher (7.50 percent) than the current"
"MI2020/MI Harrison Charter Firemens Pension Fund Township ","","","","['7.50 percent']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate - the following presents the net pension liability of the system, calculated using the discount rate of 6.50 percent, as well as what the system’s net pension liability would be if it were calculated using a discount rate that is 1percentage-point lower (5.50 percent) or 1-percentage-point higher (7.50 percent) than the current rate."
"MI2020/MI Lake County ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 3.00% in the long-term plus a percentage based on age related scale to reflect merit, longevity, and promotional pay increases. investment rate of return: 7.35%, net of investment expenses, including inflation. 48"
"MI2020/MI Lake County ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 3.00% in the long-term plus a percentage based on age related scale to reflect merit, longevity, and promotional pay increases. investment rate of return: 7.35%, net of investment expenses, including inflation. 48"
"MI2020/MI Lake County ","","","","['7.6%']","","","","","","","","from 7.75% to 7.35%. reduction in rate of wage inflation from 3.75% to 3.00%. reduction in discount rate from 8.0% to 7.6%. discount rate"
"MI2020/MI Lake County ","","","","['7.60%']","","","","","","","","reduction in discount rate from 8.0% to 7.6%. discount rate the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at the rates agreed"
"MI2020/MI Lake County ","","","","['7.60%']","","","","","","","","primary government and component units (except road commission) (continued) sensitivity of the net position liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rates 7.60%, as well as what the employer’s net position liability would be using a discount rate that is 1% lower (6.60%) or"
"MI2020/MI Lake County ","","","","['6.60%']","","","","","","","","sensitivity of the net position liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rates 7.60%, as well as what the employer’s net position liability would be using a discount rate that is 1% lower (6.60%) or 1% higher (8.60%) than the current rate."
"MI2020/MI Lake County ","","","","['7.35%']","","","","","","","","primary government and component units (except road commission) (continued) investments (continued) discount rate. the discount rate used to measure the total opeb liability was 7.35%. the projections of cash flows used to determine the discount rate assumed that the county will make contributions of $700,000 per year"
"MI2020/MI Lake County ","","","","['7.6%']","","","","","","","","7.75% to 7.35%. reduction in rate of wage inflation from 3.75% to 3.00%. reduction in discount rate from 8.0% to 7.6%. valuation date"
"MI2020/MI Bay City ","['7.35%']","","","","","","","['7.35']","","","","actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.5%; 2) salary increases 3.00% in the long-term; 3) investment rate of return of 7.35%, net of investment expense, including inflation."
"MI2020/MI Bay City ","['7.35%']","","","","","","","['7.35']","","","","actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.5%; 2) salary increases 3.00% in the long-term; 3) investment rate of return of 7.35%, net of investment expense, including inflation."
"MI2020/MI Bay City ","","","","['7.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability of the city, calculated using the discount rate of 7.60%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1%"
"MI2020/MI Bay City ","","","","['5.62%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate - the following presents the net pension liability of the city, calculated using the discount rate of 5.62%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1%"
"MI2020/MI Bay City ","","","","['8.00%']","","","","","","","","the following presents the net opeb liability of the city, as well as what the city’s net opeb liability would be if it were calculated using a discount rate that is 1% lower (6.00%) or 1% higher (8.00%) than the current discount rate."
"MI2020/MI Bay City ","","['7.35%']","","","","","","","","","","3.00% investment rate of return 7.35% net of pension plan investment expense, including inflation retirement age"
"MI2020/MI Bay City ","['7.50%']","","","","","","","","","","","3.50% - 26.30%, including inflation investment rate of return 7.50%, net of investment expenses, including inflation mortality"
"MI2020/MI Midland County ","","","","['7.50%']","","","","","","","","midland county, michigan notes to financial statements discount rate. the discount rate used to measure the total pension liability was 7.00% for the act 345 retirement system and 7.50% for the employees' retirement system. the projection of cash flows used to determine the discount rate assumed that plan member"
"MI2020/MI Midland County ","","","","['7.0%']","","","","","","","","there were no significant changes in benefits or assumptions that required an adjustment to the rolled‐forward liabilities. sensitivity of the net pension liability to changes in the discount rate ‐ act 345 retirement system. the following presents the system's net pension liability of the county, calculated using the discount rate of 7.0%, as well as what the county's net pension liability (asset) would be if it were calculated using a discount rate that is 1% lower (6.0%) or higher (8.0%) than the current rate:"
"MI2020/MI Midland County ","","","","['8.0%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate ‐ act 345 retirement system. the following presents the system's net pension liability of the county, calculated using the discount rate of 7.0%, as well as what the county's net pension liability (asset) would be if it were calculated using a discount rate that is 1% lower (6.0%) or higher (8.0%) than the current rate: one percent"
"MI2020/MI Midland County ","","","","['7.5%']","","","","","","","","(2,811,620) sensitivity of the net pension liability to changes in the discount rate ‐ employees' retirement system. the following presents the system's net pension liability of the county, calculated using the discount rate of 7.5%, as well as what the county's net pension liability (asset) would be if it were calculated using a discount rate that is 1% lower (6.5%) or higher (8.5%) than the current rate:"
"MI2020/MI Midland County ","","","","['8.5%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate ‐ employees' retirement system. the following presents the system's net pension liability of the county, calculated using the discount rate of 7.5%, as well as what the county's net pension liability (asset) would be if it were calculated using a discount rate that is 1% lower (6.5%) or higher (8.5%) than the current rate: one percent"
"MI2020/MI Midland County ","","","","['6.50%']","","","","","","","","investment rate of return 6.50% discount rate. the discount rate used to measure the total opeb liability was 6.50%. the projection of cash flows used to determine the discount rate assumed that county contributions will be made at rates equal to the actuarially determined contribution rates."
"MI2020/MI Midland County ","","","","['6.50%']","","","","","","","","notes to financial statements sensitivity of the net opeb liability to changes in the discount rate. the following presents the net opeb liability of the county, calculated using the discount rate of 6.50%, as well as what the county's net opeb liability would be if it were calculated using a discount rate that is 1% lower (5.50%) or 1% higher (7.50%) than the current rate:"
"MI2020/MI Midland County ","","","","['7.50%']","","","","","","","","sensitivity of the net opeb liability to changes in the discount rate. the following presents the net opeb liability of the county, calculated using the discount rate of 6.50%, as well as what the county's net opeb liability would be if it were calculated using a discount rate that is 1% lower (5.50%) or 1% higher (7.50%) than the current rate: 1% decrease"
"MI2020/MI West Branch ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 3.00% in the long-term plus a percentage based on an age-related scale to reflect merit, longevity and promotional pay increases. investment rate of return: 7.35%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 3.0% long-term wage inflation"
"MI2020/MI West Branch ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 3.00% in the long-term plus a percentage based on an age-related scale to reflect merit, longevity and promotional pay increases. investment rate of return: 7.35%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 3.0% long-term wage inflation"
"MI2020/MI West Branch ","","","","['7.60%']","","","","","","","","4.85% discount rate the discount rate used to measure the total pension liability is 7.60%. the current discount rate shown for gasb 68 purposes is higher than the mers assumed rate of return. this is because, for gasb 68 purposes, the"
"MI2020/MI West Branch ","","","","['7.60%']","","","","","","","","2,533,773 sensitivity of the net pension liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is 1 percentage point lower"
"MI2020/MI Ishpeming ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 3.00% in the long term investment rate of return: 7.35%, net of investment expense, including inflation the mortality table used to project the mortality experience of non-disabled plan members is a"
"MI2020/MI Ishpeming ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 3.00% in the long term investment rate of return: 7.35%, net of investment expense, including inflation the mortality table used to project the mortality experience of non-disabled plan members is a"
"MI2020/MI Ishpeming ","","","","['7.60%']","","","","","","","","50 note n – defined benefit pension plan (continued): discount rate – the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and"
"MI2020/MI Ishpeming ","","","","['7.60%']","","","","","","","","note n – defined benefit pension plan (continued): sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is one"
"MI2020/MI Ishpeming ","['7.0%']","","","","","","","['7.0']","","","","inflation: 3.5% salary increases: 3.5% in the long-term investment rate of return: 7.0%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 3.5% long-term"
"MI2020/MI Ishpeming ","['7.0%']","","","","","","","['7.0']","","","","inflation: 3.5% salary increases: 3.5% in the long-term investment rate of return: 7.0%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 3.5% long-term"
"MI2020/MI Ishpeming ","","","","['7.00%']","","","","","","","","note: based on december 31, 2019 actuarial valuation, the most recent actuarial report available. sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability of the employer, calculated using the discount rate of 7.00%, as well as what the employer’s net pension liability would be using a discount rate that is 1"
"MI2020/MI Ishpeming ","","","","","","","","['7.35']","","","","none above dates are based on measurement date, which may not necessarily tie to the fiscal year 2020 - the mers retirement board adopted a reduction in the investment rate of return assumption form 7.75% to 7.35% effective with the december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation"
"MI2020/MI Ishpeming ","","","","","","","","['7.35']","","","","none above dates are based on measurement date, which may not necessarily tie to the fiscal year 2020 - the mers retirement board adopted a reduction in the investment rate of return assumption form 7.75% to 7.35% effective with the december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation"
"MI2020/MI Ishpeming ","","","","","","","","['7.75']","","","","december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation from 3.75% to 3.00%, with the same effective date. 2016 - investment rate of return lowered from 8.0% to 7.75%. 72"
"MI2020/MI Ishpeming ","","","","","","","","['7.75']","","","","december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation from 3.75% to 3.00%, with the same effective date. 2016 - investment rate of return lowered from 8.0% to 7.75%. 72"
